RIAL,RIAR,RIBR,RIM,RIBL,sensory,,,,,,velocity,speed,odor,upp_cam_index,RIAL_x,RIAL_y,RIAR_x,RIAR_y,RIBR_x,RIBR_y,RIM_x,RIM_y,RIBL_x,RIBL_y,sensory_x,sensory_y,Speed_3,Speed_5,Speed_10,Curvature,Speed_all_points,Acceleration_all_parts_3
0.76553863286972,0.884615361690521,1.05409395694733,0.934585928916931,1.03760242462158,0.959185779094696,4.54E-01,5.92E-01,8.35E-01,8.41E-01,7.95E-01,13.1909861109878,13.3506952411905,0,181,441,59.6,415,66.5,429,224,398,198,401,193,410,188,4.12,5.83,50.5,-0.332,10.1,2.5
0.668711662292481,0.938864648342133,0,0.659574449062347,0.946641266345978,0,0.00E+00,6.00E-01,6.47E-01,0.00E+00,9.18E-01,13.4228191648835,14.2413983858066,0,183,0,0,0,0,0,0,0,0,0,0,0,0,5.05,5.47,56.2,-0.318,8.63,1.04
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,10.5657127322285,10.726770733545,0,185,0,0,0,0,0,0,0,0,0,0,0,0,4.17,6.75,69.3,-0.347,7.45,11.4
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.74992250673228,6.36364963232253,0,187,0,0,0,0,0,0,0,0,0,0,0,0,5.86,11.6,80.6,-0.454,2.43,16.3
0.768282353878021,0.348970800638199,1.0962518453598,0.954628586769104,1.01442539691925,1.03240156173706,4.69E-01,6.00E-01,8.25E-01,8.46E-01,7.79E-01,-6.45679690855642,6.77173647592556,0,189,423,169,398,225,410,314,381,309,387,313,389,288,7.99,14,86.6,-0.408,2.45,10.3
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-0.143923523145136,0.702515623767067,0,191,0,0,0,0,0,0,0,0,0,0,0,0,4.31,15.7,102,-0.418,1.4,21.4
0.78234601020813,0.915408909320831,1.06098008155823,0.949933469295502,1.03305697441101,1.01345920562744,4.72E-01,6.00E-01,8.22E-01,8.68E-01,7.57E-01,-1.94340002453359,1.97389686651915,0,193,413,331,386,347,411,483,377,467,380,473,386,451,2.35,10.9,110,-0.383,1.08,2.95
0.772009432315826,0.915966391563416,1.05947268009186,0.937281310558319,1.03325486183167,0.999051034450531,4.73E-01,5.94E-01,8.16E-01,8.53E-01,7.66E-01,-2.96912824543771,2.99050159298675,0,195,412,314,389,334,405,465,376,451,380,460,385,426,1.9,6.46,118,-0.353,1.11,7.37
0.783692955970764,0.972972989082336,1.06348013877869,0.970462441444397,1.02633428573608,1.01855659484863,4.71E-01,6.13E-01,8.34E-01,8.63E-01,7.62E-01,4.49481202495825,5.79151397622758,0,198,404,301,379,320,400,456,369,439,374,446,378,424,0.546,0.768,125,-0.482,1.85,3.16
0.778600931167603,0,1.06164789199829,0.955076634883881,1.0264720916748,1.01848483085632,4.63E-01,5.89E-01,8.10E-01,8.51E-01,7.58E-01,-0.494810093014545,0.69441959500437,0,200,407,288,0,0,400,442,370,427,375,437,378,419,0.188,0.831,133,-0.438,2.07,2.6
0.789314448833466,0.897182047367096,1.05713760852814,0.958101212978363,1.01797640323639,1.00315248966217,4.77E-01,6.04E-01,8.30E-01,8.54E-01,7.75E-01,7.79111716140262,8.38345866740655,0,202,407,280,382,299,400,436,371,418,376,425,379,403,0.283,0.983,133,-0.479,3.83,0.911
0.769924163818359,0.894528687000275,1.06224536895752,0.958330392837524,1.02205395698547,0.974218845367432,4.55E-01,5.94E-01,8.15E-01,8.41E-01,7.83E-01,0.33990991394904,0.649903540880488,0,204,407,276,379,296,400,429,370,413,375,423,379,395,1.23,0.639,129,-0.406,1.58,4.7
0.78163880109787,0.891158878803253,1.05566489696503,0.965515553951263,1.01340961456299,1.00237464904785,4.51E-01,6.03E-01,8.24E-01,8.53E-01,7.67E-01,7.163115427313,7.271054564017,0,206,408,273,382,291,400,428,371,411,376,417,379,392,0.635,0.591,125,-0.407,2.39,0.39
0.768672645092011,0,1.05913197994232,0.947108924388886,1.02491652965546,1.00250709056854,4.50E-01,6.03E-01,8.30E-01,8.54E-01,7.27E-01,-4.71239749305268,4.8004811790889,0,208,409,251,0,0,404,400,372,387,377,399,381,366,0.74,0.3,117,-0.4,0.482,9.05
0.782666444778442,0.850000023841858,1.05524444580078,0.948935627937317,1.0254453420639,1.02027451992035,4.54E-01,5.99E-01,8.15E-01,8.62E-01,7.46E-01,-3.58954743874164,4.67077788143206,0,210,413,222,390,238,407,379,376,359,383,366,385,343,0.211,0.585,104,-0.477,4.37,2.29
0.771761655807495,0,1.05667006969452,0.947595715522766,1.04812693595886,0.981905519962311,4.53E-01,5.95E-01,8.14E-01,8.35E-01,7.49E-01,4.16906700375723,4.24360394613253,0,212,415,200,0,0,411,349,380,336,385,349,388,315,1.65,1.78,91.9,-0.373,2.93,5.09
0.76378059387207,0.944022119045258,1.0581773519516,0.966856837272644,1.03916990756989,0.996908068656921,4.46E-01,5.97E-01,8.22E-01,8.47E-01,7.70E-01,-2.37494067077517,2.52435741915375,0,214,424,158,413,166,419,315,388,295,395,295,397,278,0.873,0.737,76.3,-0.471,1.99,2.05
0.769500613212585,0.895368754863739,1.05002415180206,0.914464950561523,1.02452421188355,1.02725541591644,4.25E-01,5.80E-01,8.09E-01,8.41E-01,7.44E-01,-4.07274143975339,4.10288984470606,0,217,432,97.2,412,131,434,240,401,232,405,251,411,210,4.47,3.23,57.8,-0.474,2.18,0.571
0.779290497303009,0.884297549724579,1.04794311523438,0.91917496919632,1.00724637508392,1.0046398639679,4.31E-01,6.36E-01,8.12E-01,8.27E-01,7.45E-01,14.9449728086031,15.1521886059856,0,219,442,51.4,419,51,439,199,409,184,416,209,416,164,5.73,6.7,44.2,-0.511,8.14,20.3
0.771153509616852,0.947826087474823,1.05781364440918,0.933592736721039,1.04642260074615,0.999740123748779,4.29E-01,5.95E-01,8.11E-01,8.42E-01,7.37E-01,-0.205813169517763,2.8746907868963,0,221,448,158,424,187,446,303,415,293,419,311,421,274,1.12,5.17,36.4,-0.362,2.11,0.872
0.778064370155335,0,1.06032145023346,0.937715768814087,1.00606763362885,1.00699555873871,4.29E-01,5.91E-01,7.92E-01,8.37E-01,7.33E-01,8.98186574631483,9.20427661623241,0,223,447,102,0,0,446,255,417,238,422,244,423,223,2.87,3.3,28.7,-0.43,2.86,7.06
0.769868850708008,0,1.05732679367065,0.925767600536346,1.01258838176727,1.02864611148834,4.28E-01,5.98E-01,8.01E-01,8.31E-01,7.46E-01,8.38016414029083,9.4628859449439,0,225,450,71.8,0,0,455,213,421,205,424,222,430,186,2.08,2.66,26.4,-0.34,6.38,1.78
0.6220782995224,0,0,0.786470592021942,2.16343760490417,0,0.00E+00,6.32E-01,7.02E-01,0.00E+00,9.56E-01,3.61715458429367,4.97834798735824,0,227,0,0,0,0,0,0,0,0,0,0,0,0,1.27,2.14,24,-0.429,0.675,1.65
0.838042616844177,0,1.04741585254669,0.945947349071503,1.02285099029541,1.02007496356964,4.36E-01,5.97E-01,8.39E-01,8.40E-01,7.70E-01,2.27717347177797,2.8703201232244,0,229,400,4,0,0,436,131,402,127,403,146,410,106,0.65,1.84,24.9,-0.305,3,5.14
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.82194415790372,15.552717076742,0,231,0,0,0,0,0,0,0,0,0,0,0,0,6.47,5.52,29.8,-0.437,17,4.68
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,22.7702886010132,23.4918644760153,0,233,0,0,0,0,0,0,0,0,0,0,0,0,13.6,10,36.8,-0.471,22.9,583
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-23.2178017604286,30.7504020427499,0,236,0,0,0,0,0,0,0,0,0,0,0,0,17.4,11.1,40.3,-0.428,23.7,27.7
0.900072336196899,0.832051277160645,1.04759395122528,0.928028702735901,1.00834107398987,1.00938677787781,4.71E-01,5.97E-01,9.05E-01,8.66E-01,7.86E-01,-1.12719372119179,5.78110952300645,0,238,161,270,176,299,177,411,139,399,143,409,147,383,173,12.7,45.7,-0.293,3.54,552
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,17.0850392749608,35.3083176659344,0,240,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.1,42.1,-0.404,44.7,7.53
0.868811011314392,0.890977442264557,1.04629588127136,0.931058585643768,1.02811908721924,0.979643762111664,4.59E-01,6.43E-01,9.42E-01,8.51E-01,8.13E-01,5.25509074275455,5.40076636779388,0,242,493,274,486,303,545,403,507,399,509,414,510,380,14.7,104,48.8,-0.39,5.7,5.56
0.872895956039429,0.948830425739288,1.04584050178528,0.919723391532898,1.02014803886414,1.05252885818481,4.62E-01,6.34E-01,9.36E-01,8.70E-01,7.96E-01,3.79978109262137,12.9787255443762,0,244,485,268,482,285,538,394,493,391,495,401,501,372,2.35,4.35,52.9,-0.331,4.73,4.67
0.882055342197418,0.88659793138504,1.03387320041657,0.91990739107132,1.02965009212494,1.00176227092743,4.73E-01,6.22E-01,9.24E-01,8.55E-01,8.18E-01,6.40290926579362,6.8327637027044,0,246,507,252,509,282,543,383,496,376,498,388,512,356,1.16,10.4,93.3,-0.438,4.68,5.72
0.894973456859589,0.949334681034088,1.05343627929688,0.960934281349182,1.01349544525146,1.0370911359787,4.81E-01,6.44E-01,9.10E-01,8.64E-01,8.07E-01,-3.37827463693136,3.42099717949264,0,248,582,228,576,227,551,366,514,339,517,337,530,328,0.77,7.95,98.2,-0.378,3.15,1.19
0.857406079769135,0.925284266471863,1.05955731868744,0.936348438262939,1.04169487953186,1.05596768856049,4.31E-01,6.34E-01,9.00E-01,8.37E-01,7.44E-01,7.55676023391387,8.57363528492502,0,250,609,174,604,182,564,298,531,274,529,283,552,261,0.398,8.57,62.8,-0.331,8,5.78
0.8834028840065,0.846186101436615,1.05470740795136,0.963454484939575,1.01675081253052,0.9806107878685,4.38E-01,5.78E-01,8.79E-01,8.46E-01,7.69E-01,-0.390432796624011,2.46534427171376,0,252,653,108,651,113,588,235,562,194,562,190,578,195,2.17,0.336,102,-0.31,2.44,4.13
0.57036966085434,0,0,0.587407410144806,0.906846225261688,0,6.38E-01,5.85E-01,6.12E-01,0.00E+00,9.81E-01,-3.8061514410425,4.34076192288951,0,255,0,0,0,0,0,0,0,0,0,0,0,0,2.26,3.02,60.2,-0.283,2.23,2.62
0.615220010280609,0.494674056768417,0.636993944644928,0.679047822952271,0,0.918918907642365,6.50E-01,5.83E-01,5.82E-01,6.72E-01,7.21E-01,9.97921250702336,10.0428976597243,0,257,0,0,0,0,0,0,0,0,0,0,0,0,3.54,6.42,58.2,-0.306,3.44,15.8
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.90612281337908,3.19088090560845,0,259,0,0,0,0,0,0,0,0,0,0,0,0,7.86,7.94,96.2,-0.429,7.53,11.1
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.88002533582841,51.4332899280725,0,261,0,0,0,0,0,0,0,0,0,0,0,0,16.6,10.9,53.3,-0.359,52.9,47.8
0,0.877049207687378,0,0,0.942771077156067,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-6.51058407721403,12.0814205875854,0,263,0,0,0,0,0,0,0,0,0,0,0,0,31.8,14.5,95.7,0.331,3.54,51.4
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,44.5011506381651,67.6754065541673,0,265,0,0,0,0,0,0,0,0,0,0,0,0,26.2,17.8,156,0.0232,89,35.9
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.84478555523414,7.11656477940758,0,267,0,0,0,0,0,0,0,0,0,0,0,0,36.2,8.44,105,-0.117,13.3,39.8
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-8.09434312787579,11.9567215348716,0,269,0,0,0,0,0,0,0,0,0,0,0,0,9.68,21.3,105,-0.0226,17.7,41.5
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-2.81715953579913,4.67797323321069,0,271,0,0,0,0,0,0,0,0,0,0,0,0,9.58,33.5,165,-0.591,9.3,9.23
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,41.91076808758,42.2225217631096,0,273,0,0,0,0,0,0,0,0,0,0,0,0,11.6,26.1,125,-0.762,39.6,19.1
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-6.47310920725825,12.6098424087312,0,276,0,0,0,0,0,0,0,0,0,0,0,0,22.6,10.3,94.7,-0.441,11.9,50.4
0.587770164012909,0.67619925737381,0.935840725898743,0.640100657939911,1.54931128025055,1.58827316761017,6.10E-01,5.29E-01,5.22E-01,5.61E-01,6.76E-01,-4.86499554314638,6.19541106229921,0,278,0,0,0,0,0,0,0,0,0,0,0,0,8.11,16.7,104,-0.815,0.741,10.9
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.10236249246873,3.50323668624105,0,280,0,0,0,0,0,0,0,0,0,0,0,0,8.96,23,170,-0.618,6.69,14.9
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-7.44937568352459,8.98321285424139,0,282,0,0,0,0,0,0,0,0,0,0,0,0,6.21,17.4,133,-0.404,6.36,4.97
