RIAL,RIAR,RIBL,RIM,RIBR,sensory,,,,,,,,velocity,speed,odor,upp_cam_index,RIAL_x,RIAL_y,RIAR_x,RIAR_y,RIBL_x,RIBL_y,RIM_x,RIM_y,RIBR_x,RIBR_y,Speed_3,Speed_5,Speed_10
0,0,0,0,0,0,0,0,0,0,0,0,0,-3.59019234957808,16.5558120972207,0,351,0,0,0,0,0,0,0,0,0,0,11.4,17.9,55.4
0,0,0,0,0,0,0,0,0,0,0,0,0,-7.64315476049284,12.0189684907018,0,353,0,0,0,0,0,0,0,0,0,0,3.96,28.7,85.1
0,0,0,0,0,0,0,0,0,0,0,0,0,-36.8189292982335,78.7999912317697,0,355,0,0,0,0,0,0,0,0,0,0,30.9,34.2,97
0,0,0,0,0,0,0,0,0,0,0,0,0,-11.554529924492,26.5701250772571,0,358,0,0,0,0,0,0,0,0,0,0,12.1,33.7,133
0,0,0,0,0,0,0,0,0,0,0,0,0,-1.01786329827338,14.1655022640501,0,360,0,0,0,0,0,0,0,0,0,0,7.06,12.2,148
0,0,0,0,0,0,0,0,0,0,0,0,0,3.06511909692333,5.36228121163958,0,362,0,0,0,0,0,0,0,0,0,0,4.59,11.4,178
0.641872644424439,0.71870768070221,2.17770290374756,1.60856378078461,2.20409226417541,3.19184112548828,0,1.00466561317444,0.895747601985931,0.960296332836151,0.941260755062103,0.953540205955505,0.938372075557709,-1.21787349651642,9.41159927565066,0,364,194,445,110,470,167,507,178,468,219,480,7.8,9.52,210
0.635651528835297,0.685846447944641,2.32311940193176,1.95112204551697,2.12789726257324,3.03014039993286,0.992063462734222,0.932926833629608,0.902453422546387,0.920302987098694,0.920407831668854,0.946548402309418,0.960159361362457,4.21267407168494,8.79837824085283,0,366,202,448,208,480,259,516,273,477,320,488,2.24,8.49,210
0.641658663749695,0.69134908914566,2.33925318717957,2.87323546409607,2.22985196113586,3.42663335800171,1.11720037460327,0.978071987628937,0.933570981025696,0.9062420129776,0.91912978887558,0.937361538410187,0.959709882736206,10.6689074278222,20.5215324714653,0,368,278,451,258,476,315,513,323,477,374,488,5.97,4.45,230
0.638784885406494,0.678264796733856,2.3074152469635,2.38160848617554,2.16928291320801,3.26397228240967,0.997175872325897,0.914625823497772,0.832821786403656,0.913652241230011,0.935539484024048,0.954533100128174,0.950240075588226,0.141943124921553,6.83827413022997,0,370,280,449,264,473,319,512,330,475,376,487,0.543,4.82,244
0.640557050704956,0.666239142417908,2.25939536094666,1.92754948139191,2.13448643684387,3.15729141235352,1.08775353431702,0.871900796890259,0.875278890132904,0.88702404499054,0.91309666633606,0.929928302764893,0.980545818805695,-3.7647310488923,7.77382357033318,0,372,282,444,276,476,327,513,343,474,386,487,2.27,1.73,233
0.642776846885681,0.674952924251556,2.21832036972046,2.15306949615479,2.02287149429321,3.03142333030701,0.990282952785492,0.945220768451691,0.875337541103363,0.872355997562408,0.927126348018646,0.942599177360535,0.968695640563965,11.0298105867027,18.8126218481728,0,374,290,446,278,464,327,508,342,470,389,484,2.89,6.05,218
0.637300550937653,0.675557076931,2.31697845458984,1.6631201505661,2.14299583435059,3.06260323524475,1.01910972595215,0.965121924877167,0.864167392253876,0.86591774225235,0.926898837089539,0.937111496925354,0.944632291793823,9.97675514089864,17.1192098083058,0,376,317,448,314,466,358,512,377,477,422,495,3.56,3.99,212
0.652020394802094,0.679876327514648,2.20701670646667,1.94968783855438,0,3.01703333854675,0.938080489635468,0.95652174949646,0.899466872215271,0.86223316192627,0.895167887210846,0.936675310134888,0.921185851097107,-18.8107678210005,36.1763185369963,0,379,324,443,355,481,396,530,421,498,0,0,4.82,4.78,179
0.633635222911835,0.711714506149292,2.34475350379944,2.03905534744263,2.05656862258911,3.04266881942749,0.9765704870224,0.973715662956238,0.888501107692719,0.858003079891205,0.888187944889069,0.925986349582672,0.963184058666229,0.642728700713049,2.00161438677645,0,381,497,540,472,557,512,603,539,573,576,591,4.24,4.26,135
0.635557115077972,0.692155241966248,2.44988894462585,2.39298677444458,2.14417791366577,3.0467426776886,0.95331484079361,0.951052904129028,0.912725687026978,0.868692994117737,0.889018356800079,0.952531933784485,0.982280433177948,1.48302631266233,3.28861225423818,0,383,468,523,433,536,481,584,498,548,538,566,4.2,5.96,105
0.63524055480957,0.663310647010803,2.3303005695343,2.43069887161255,3.32146334648132,2.83846092224121,1.04347825050354,0.944657504558563,0.956053793430328,0.829724252223969,0.858551383018494,0.935297310352325,0.947452247142792,3.57875686180947,7.43599364571391,0,385,352,477,380,515,433,557,445,521,438,579,0.66,5.79,85.5
0.627256572246552,0.675658762454987,2.10840177536011,1.67187798023224,1.96121096611023,2.89959239959717,0.958647906780243,1.11085712909698,0.888823211193085,0.855349361896515,0.852270901203156,0.936374127864838,0.994643568992615,-2.7409028154759,15.5729573433664,0,387,280,457,271,481,326,518,338,479,384,491,1.99,6.3,53.2
0.620363414287567,0.675569713115692,2.16039204597473,2.49854803085327,2.05136322975159,2.68606185913086,0.967752754688263,0.980769217014313,0.867106974124908,0.85971873998642,0.861098408699036,0.927507221698761,0.968908309936523,0.649873584123301,9.09236787028445,0,389,282,443,278,477,330,515,345,477,390,486,1.72,4.39,29.6
0.626069068908691,0.665132761001587,2.13318514823914,2.45125651359558,1.93714141845703,2.73679494857788,0.922142565250397,0.987447679042816,0.872068226337433,0.850277006626129,0.873323082923889,0.936870813369751,0.976545393466949,-1.09268178428651,3.58623669752961,0,391,285,438,275,463,325,505,337,469,383,482,4.43,3.28,31.2
0.640056431293488,0.693697094917297,2.09022378921509,2.44759821891785,1.76655495166779,2.71909093856812,0.962579429149628,0.918978095054626,0.916987717151642,0.846837997436523,0.851233541965485,0.924560368061066,0.954954981803894,10.0513876004725,18.5147811646875,0,393,213,454,223,480,283,512,289,473,332,482,0.794,1.03,14.9
0.640782237052918,0.702895760536194,2.01999497413635,2.20842385292053,1.90789139270782,2.67704939842224,0.92818033695221,1.09260761737823,0.886792480945587,0.859138131141663,0.874424695968628,0.932411253452301,0.946617186069489,-2.96653197289817,6.16078024047463,0,395,193,455,185,483,248,512,251,472,300,478,0.116,5.01,10.6
0.659394800662994,0.698364078998566,2.08611416816711,2.05612397193909,1.89294421672821,2.58621168136597,0.919723927974701,1.01496255397797,0.873673021793366,0.858279407024384,0.894586145877838,0.927231967449188,0.961698591709137,1.11889749605739,2.51961267578587,0,397,185,452,183,481,245,511,246,468,298,474,2.76,2.32,12.1
0.647010624408722,0.722673416137695,1.9341287612915,1.96517407894135,1.87192499637604,2.41131830215454,0.973845720291138,0.984149873256683,0.882332921028137,0.852698028087616,0.896669387817383,0.91623729467392,0.916430592536926,3.5381802442611,9.26026000355381,0,400,184,447,180,463,243,495,247,454,293,462,3.64,1.9,17.9
0.636422038078308,0.722012639045715,1.89888978004456,2.45561218261719,1.83256411552429,2.66425776481628,0.914622187614441,0.924421906471252,0.877532243728638,0.847479581832886,0.897415935993195,0.931144654750824,0.90718686580658,-3.11741569591871,10.7231064943485,0,402,190,440,180,460,243,492,245,453,294,460,1.21,3.73,15.5
0.646386384963989,0.721043825149536,1.93442559242249,2.39456415176392,1.82282435894012,2.65810775756836,0.933216154575348,0,0.884401619434357,0.850648045539856,0.865003764629364,0.925772786140442,0.942820847034454,1.32470326202066,3.88803397744476,0,404,198,442,193,453,252,488,257,447,307,454,2.9,2.91,17.6
0.641637027263641,0.7281613945961,2.03414082527161,1.29270577430725,1.8460339307785,2.5505428314209,0.917868614196777,0.875,0.891359567642212,0.822934865951538,0.887162148952484,0.921470761299133,0.943078339099884,3.43031548141809,10.2252087569462,0,406,198,447,195,471,253,502,261,458,306,465,1.53,1.4,23.8
0.647600293159485,0.71331250667572,2.09970903396606,1.84253406524658,1.83496332168579,2.24737071990967,0.911240935325623,0.883116900920868,0.921001076698303,0.834217548370361,0.850520730018616,0.914954841136932,0.937737166881561,2.79759585035064,5.59406359480543,0,408,189,452,182,478,244,508,245,464,295,470,1.63,3.33,24.8
0.636985719203949,0.723104357719421,1.99359500408173,2.28775596618652,1.8139466047287,2.45806765556335,0.902359902858734,0.989241540431976,0.911263823509216,0.8265780210495,0.889213502407074,0.907404720783234,0.979079484939575,21.1396056967439,40.5071048959859,0,410,195,451,181,477,244,506,246,464,296,469,3.06,1.63,24.4
0.642031073570251,0.672190666198731,1.88543403148651,1.4662938117981,1.78089940547943,2.41212177276611,0.932587027549744,0,0.930803596973419,0.816454827785492,0.862362146377564,0.914159893989563,0.950973570346832,2.6071324079927,3.94728047116829,0,412,213,447,212,470,273,500,279,459,326,465,9.5,2.77,24.9
0.645195782184601,0.68262505531311,1.9459502696991,1.16540336608887,1.75847244262695,2.46555590629578,0.921393811702728,0.753846168518066,0.858989238739014,0.802871108055115,0.850741863250732,0.920269906520844,0.934185326099396,-6.78421256881017,11.9209305503862,0,414,348,412,312,449,360,488,379,446,413,459,2.61,7.48,19.8
0.629277408123016,0.681485593318939,1.76801371574402,1.23159098625183,1.72042906284332,2.43750381469727,0.898215293884277,0.991682827472687,0.846153855323792,0.81448221206665,0.861546576023102,0.919054329395294,0.957689464092255,-12.199707256012,19.4908092925778,0,416,383,385,361,394,396,447,424,414,455,436,2.7,9.52,13.7
0.629489481449127,0.676231682300568,1.84141623973846,1.15275228023529,1.76890635490417,2.60066556930542,0.91880863904953,0.99508136510849,0.853336691856384,0.811391174793243,0.848997414112091,0.927197158336639,0.949016094207764,0.877947393772282,13.0593110874772,0,418,383,365,358,381,392,434,418,399,451,425,2.12,6.82,12.3
0.658516407012939,0.685447871685028,1.8341201543808,1.39862298965454,1.69194221496582,2.49231433868408,0.905998647212982,1.02638185024261,0.883186817169189,0.82424658536911,0.860159814357758,0.916299343109131,0.946146249771118,3.69362953619325,8.66040931838826,0,421,365,364,336,384,375,435,401,397,434,417,4.32,5.32,6.75
0.629024386405945,0.693830907344818,1.83493602275848,1.67915189266205,1.7986044883728,2.35606241226196,0.91719913482666,0.9357870221138,0.851973712444305,0.833689868450165,0.848532617092133,0.908771872520447,0.921951234340668,2.20510433073369,13.1589266190491,0,423,339,355,325,368,366,419,388,383,425,406,2.55,7.69,12.7
